holding_cost,order_fixed,stockout_penalty,learning_rate,n_steps,n_epochs,vf_coef,ent_coef,batch_size,rl_avg_profit,rl_avg_stockouts,rl_avg_inventory,train_time_s
0.5,5.0,100.0,0.0001,2048,5,0.25,0.0,64,278.9357144145373,0.0,72.2562390094914,82.92697072029114
0.5,5.0,100.0,0.0001,2048,5,0.25,0.01,64,268.315658325238,0.0,84.00173323539839,82.76519560813904
0.5,5.0,100.0,0.0001,2048,8,0.25,0.0,64,276.7278066699205,0.0,79.08446047639192,104.6869330406189
0.5,5.0,100.0,0.0001,2048,8,0.25,0.01,64,280.589527704107,0.0,75.97076118364726,105.22944641113281
0.5,5.0,100.0,0.0001,1024,5,0.25,0.0,64,281.45861440074657,11.130349688943586,61.91570002568911,84.21557807922363
0.5,5.0,100.0,0.0001,1024,5,0.25,0.01,64,281.1141816262019,12.804779825977231,65.31302263965345,90.7471375465393
0.5,5.0,100.0,0.0001,1024,8,0.25,0.0,64,258.9879443348501,0.0,110.01644747799389,109.24657607078552
0.5,5.0,100.0,0.0001,1024,8,0.25,0.01,64,284.33805673881216,3.7260013479586496,62.285144655410555,108.8218309879303
0.5,5.0,200.0,3e-05,512,5,0.25,0.0,64,223.8839165020157,0.0,175.2691460930811,92.70113754272461
0.5,5.0,200.0,3e-05,512,5,0.25,0.01,64,233.2089948325914,0.0,151.32801721024185,89.52024817466736
0.5,5.0,200.0,3e-05,512,8,0.25,0.0,64,248.14769260322632,0.0,123.0275426744435,103.70174384117126
0.5,5.0,200.0,3e-05,512,8,0.25,0.01,64,246.11699484689774,0.0,135.69874391738682,103.60742521286011
0.5,5.0,200.0,3e-05,2048,5,0.25,0.0,64,257.9077762239708,0.0,112.6753919418544,82.78826713562012
0.5,5.0,200.0,3e-05,2048,5,0.25,0.01,64,257.69216174297196,0.0,108.92779803550407,82.61719632148743
0.5,5.0,200.0,3e-05,2048,8,0.25,0.0,64,266.5448069416698,0.0,94.643885021471,104.68269324302673
0.5,5.0,200.0,3e-05,2048,8,0.25,0.01,64,250.48434687013167,0.0,127.31651515176853,105.48249650001526
0.5,5.0,200.0,3e-05,1024,5,0.25,0.0,64,234.3039712753968,0.0,149.4465571447921,81.32225680351257
0.5,5.0,200.0,3e-05,1024,5,0.25,0.01,64,248.33359341744207,0.0,130.00590374254202,87.16411352157593
0.5,5.0,200.0,3e-05,1024,8,0.25,0.0,64,257.96656521167563,0.0,109.41516506665373,120.2042920589447
0.5,5.0,200.0,3e-05,1024,8,0.25,0.01,64,250.1655467042504,0.0,126.53973432567022,115.1469988822937
0.5,5.0,200.0,0.0001,512,5,0.25,0.0,64,242.77524124890934,0.0,130.92772335104746,94.71464514732361
0.5,5.0,200.0,0.0001,512,5,0.25,0.01,64,269.09964667445496,0.0,86.6573438712342,93.66486167907715
0.5,5.0,200.0,0.0001,512,8,0.25,0.0,64,227.60682486384948,0.0,166.06450388451142,109.50458097457886
0.5,5.0,200.0,0.0001,512,8,0.25,0.01,64,251.50287812790134,1.220539338887113,121.93050310108758,110.18228793144226
0.5,5.0,200.0,0.0001,2048,5,0.25,0.0,64,276.7542262951631,0.0,75.34044129045043,95.4534740447998
0.5,5.0,200.0,0.0001,2048,5,0.25,0.01,64,268.2381852241618,0.0,88.30641215076184,89.10601663589478
0.5,5.0,200.0,0.0001,2048,8,0.25,0.0,64,277.6888682249035,0.0,75.85922048908391,116.7911102771759
0.5,5.0,200.0,0.0001,2048,8,0.25,0.01,64,272.4172484760149,0.0,82.24769518081457,116.27909779548645
0.5,5.0,200.0,0.0001,1024,5,0.25,0.0,64,278.31308179234827,5.557176357919493,75.45255336761474,90.17340898513794
0.5,5.0,200.0,0.0001,1024,5,0.25,0.01,64,275.8775839665862,52.76639122027602,53.27590193813794,86.973641872406
0.5,5.0,200.0,0.0001,1024,8,0.25,0.0,64,274.6186465898957,1.7791177841263504,77.75149458480209,117.54707503318787
